ZIP,CBSA,USPS_ZIP_PREF_CITY,USPS_ZIP_PREF_STATE,CityState,,,,
00970,41980,GUAYNABO,PR,"GUAYNABO, PR",,,,
00971,41980,GUAYNABO,PR,"GUAYNABO, PR",,,,
00975,41980,SAN JUAN,PR,"SAN JUAN, PR",,,,
00976,41980,TRUJILLO ALTO,PR,"TRUJILLO ALTO, PR",,,,
00977,41980,TRUJILLO ALTO,PR,"TRUJILLO ALTO, PR",,,,
00979,41980,CAROLINA,PR,"CAROLINA, PR",,,,
00981,41980,CAROLINA,PR,"CAROLINA, PR",,,,
00982,41980,CAROLINA,PR,"CAROLINA, PR",,,,
00983,41980,CAROLINA,PR,"CAROLINA, PR",,,,
00984,41980,CAROLINA,PR,"CAROLINA, PR",,,,
00985,41980,CAROLINA,PR,"CAROLINA, PR",,,,
00986,41980,CAROLINA,PR,"CAROLINA, PR",,,,
00987,41980,CAROLINA,PR,"CAROLINA, PR",,,,
00988,41980,CAROLINA,PR,"CAROLINA, PR",,,,
01001,44140,AGAWAM,MA,"AGAWAM, MA",,,,
01002,11200,AMHERST,MA,"AMHERST, MA",,,,
01002,24640,AMHERST,MA,"AMHERST, MA",,,,
01003,11200,AMHERST,MA,"AMHERST, MA",,,,
01004,11200,AMHERST,MA,"AMHERST, MA",,,,
01005,49340,BARRE,MA,"BARRE, MA",,,,
01007,11200,BELCHERTOWN,MA,"BELCHERTOWN, MA",,,,
01008,44140,BLANDFORD,MA,"BLANDFORD, MA",,,,
01008,38340,BLANDFORD,MA,"BLANDFORD, MA",,,,
01009,44140,BONDSVILLE,MA,"BONDSVILLE, MA",,,,
01010,44140,BRIMFIELD,MA,"BRIMFIELD, MA",,,,
01010,49340,BRIMFIELD,MA,"BRIMFIELD, MA",,,,
01011,44140,CHESTER,MA,"CHESTER, MA",,,,
01011,11200,CHESTER,MA,"CHESTER, MA",,,,
01012,11200,CHESTERFIELD,MA,"CHESTERFIELD, MA",,,,
01013,44140,CHICOPEE,MA,"CHICOPEE, MA",,,,
01014,44140,CHICOPEE,MA,"CHICOPEE, MA",,,,
01020,44140,CHICOPEE,MA,"CHICOPEE, MA",,,,
01021,44140,CHICOPEE,MA,"CHICOPEE, MA",,,,
01022,44140,CHICOPEE,MA,"CHICOPEE, MA",,,,
01026,38340,CUMMINGTON,MA,"CUMMINGTON, MA",,,,
01026,11200,CUMMINGTON,MA,"CUMMINGTON, MA",,,,
01027,11200,EASTHAMPTON,MA,"EASTHAMPTON, MA",,,,
01028,44140,EAST LONGMEADOW,MA,"EAST LONGMEADOW, MA",,,,
01029,38340,EAST OTIS,MA,"EAST OTIS, MA",,,,
01030,44140,FEEDING HILLS,MA,"FEEDING HILLS, MA",,,,
01031,49340,GILBERTVILLE,MA,"GILBERTVILLE, MA",,,,
01031,11200,GILBERTVILLE,MA,"GILBERTVILLE, MA",,,,
01032,11200,GOSHEN,MA,"GOSHEN, MA",,,,
01033,44140,GRANBY,MA,"GRANBY, MA",,,,
01033,11200,GRANBY,MA,"GRANBY, MA",,,,
01034,44140,GRANVILLE,MA,"GRANVILLE, MA",,,,
01035,11200,HADLEY,MA,"HADLEY, MA",,,,
01036,44140,HAMPDEN,MA,"HAMPDEN, MA",,,,
01037,49340,HARDWICK,MA,"HARDWICK, MA",,,,
01038,11200,HATFIELD,MA,"HATFIELD, MA",,,,
01039,11200,HAYDENVILLE,MA,"HAYDENVILLE, MA",,,,
01039,24640,HAYDENVILLE,MA,"HAYDENVILLE, MA",,,,
01040,44140,HOLYOKE,MA,"HOLYOKE, MA",,,,
01041,44140,HOLYOKE,MA,"HOLYOKE, MA",,,,
01050,44140,HUNTINGTON,MA,"HUNTINGTON, MA",,,,
01050,11200,HUNTINGTON,MA,"HUNTINGTON, MA",,,,
01053,11200,LEEDS,MA,"LEEDS, MA",,,,
01054,24640,LEVERETT,MA,"LEVERETT, MA",,,,
01056,44140,LUDLOW,MA,"LUDLOW, MA",,,,
01057,44140,MONSON,MA,"MONSON, MA",,,,
01059,11200,NORTH AMHERST,MA,"NORTH AMHERST, MA",,,,
01060,11200,NORTHAMPTON,MA,"NORTHAMPTON, MA",,,,
01061,11200,NORTHAMPTON,MA,"NORTHAMPTON, MA",,,,
01062,11200,FLORENCE,MA,"FLORENCE, MA",,,,
01063,11200,NORTHAMPTON,MA,"NORTHAMPTON, MA",,,,
01066,11200,NORTH HATFIELD,MA,"NORTH HATFIELD, MA",,,,
01068,49340,OAKHAM,MA,"OAKHAM, MA",,,,
01069,44140,PALMER,MA,"PALMER, MA",,,,
01069,11200,PALMER,MA,"PALMER, MA",,,,
01070,11200,PLAINFIELD,MA,"PLAINFIELD, MA",,,,
01070,24640,PLAINFIELD,MA,"PLAINFIELD, MA",,,,
01070,38340,PLAINFIELD,MA,"PLAINFIELD, MA",,,,
01071,44140,RUSSELL,MA,"RUSSELL, MA",,,,
01072,24640,SHUTESBURY,MA,"SHUTESBURY, MA",,,,
01073,11200,SOUTHAMPTON,MA,"SOUTHAMPTON, MA",,,,
01073,44140,SOUTHAMPTON,MA,"SOUTHAMPTON, MA",,,,
01074,49340,SOUTH BARRE,MA,"SOUTH BARRE, MA",,,,
01075,11200,SOUTH HADLEY,MA,"SOUTH HADLEY, MA",,,,
01077,44140,SOUTHWICK,MA,"SOUTHWICK, MA",,,,
01079,44140,THORNDIKE,MA,"THORNDIKE, MA",,,,
01080,44140,THREE RIVERS,MA,"THREE RIVERS, MA",,,,
01081,44140,WALES,MA,"WALES, MA",,,,
01082,44140,WARE,MA,"WARE, MA",,,,
01082,11200,WARE,MA,"WARE, MA",,,,
01082,49340,WARE,MA,"WARE, MA",,,,
01083,49340,WARREN,MA,"WARREN, MA",,,,
01084,11200,WEST CHESTERFIELD,MA,"WEST CHESTERFIELD, MA",,,,
01085,44140,WESTFIELD,MA,"WESTFIELD, MA",,,,
01085,11200,WESTFIELD,MA,"WESTFIELD, MA",,,,
01086,44140,WESTFIELD,MA,"WESTFIELD, MA",,,,
01088,11200,WEST HATFIELD,MA,"WEST HATFIELD, MA",,,,
01089,44140,WEST SPRINGFIELD,MA,"WEST SPRINGFIELD, MA",,,,
01090,44140,WEST SPRINGFIELD,MA,"WEST SPRINGFIELD, MA",,,,
01092,49340,WEST WARREN,MA,"WEST WARREN, MA",,,,
01093,24640,WHATELY,MA,"WHATELY, MA",,,,
01094,49340,WHEELWRIGHT,MA,"WHEELWRIGHT, MA",,,,
01095,44140,WILBRAHAM,MA,"WILBRAHAM, MA",,,,
01096,11200,WILLIAMSBURG,MA,"WILLIAMSBURG, MA",,,,
01096,24640,WILLIAMSBURG,MA,"WILLIAMSBURG, MA",,,,
01097,44140,WORONOCO,MA,"WORONOCO, MA",,,,
01098,11200,WORTHINGTON,MA,"WORTHINGTON, MA",,,,
01101,44140,SPRINGFIELD,MA,"SPRINGFIELD, MA",,,,
